sum_error,avg_error,probe_selection,probe_set_number,distance_function,threshold,alpha,104.16.123.96,192.112.36.4,192.203.230.10,192.33.4.12,192.36.148.17,192.5.5.241,192.58.128.30,193.0.14.129,198.41.0.4,198.97.190.53,199.7.83.42,199.7.91.13,199.9.14.201,202.12.27.33
1.7001943241424309,0.12144245172445936,area,500,constant_1.52,5,0.6,0.0,0.0,0.038461538461538436,0.0,0.125,0.09677419354838723,0.05555555555555558,0.11111111111111116,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
1.746877732933225,0.12477698092380178,area,500,constant_1.52,30,0.6,0.0,0.0,0.038461538461538436,0.0,0.125,0.09375,0.10526315789473684,0.11111111111111116,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
1.746877732933225,0.12477698092380178,area,500,constant_1.52,20,0.6,0.0,0.0,0.038461538461538436,0.0,0.125,0.09375,0.10526315789473684,0.11111111111111116,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
1.746877732933225,0.12477698092380178,area,500,constant_1.52,10,0.6,0.0,0.0,0.038461538461538436,0.0,0.125,0.09375,0.10526315789473684,0.11111111111111116,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
1.746877732933225,0.12477698092380178,area,500,constant_1.52,-1,0.6,0.0,0.0,0.038461538461538436,0.0,0.125,0.09375,0.10526315789473684,0.11111111111111116,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
1.8572417563516634,0.13266012545369024,area,1000,constant_1.52,5,1,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.0625,0.08333333333333337,0.0,0.2857142857142857,0.33333333333333337,0.1333333333333333,0.0714285714285714,0.5,0.0
1.9071745446745447,0.1362267531910389,area,1000,constant_1.52,5,0.7,0.030303030303030387,0.0,0.054054054054053946,0.25,0.05555555555555558,0.0625,0.08333333333333337,0.0,0.16666666666666663,0.5,0.1333333333333333,0.0714285714285714,0.5,0.0
1.9332698948798017,0.1380907067771287,area,1000,constant_1.52,5,0.9,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.08333333333333337,0.0,0.16666666666666663,0.5,0.1333333333333333,0.0714285714285714,0.5,0.0
1.9332698948798017,0.1380907067771287,area,1000,constant_1.52,5,0.8,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.08333333333333337,0.0,0.16666666666666663,0.5,0.1333333333333333,0.0714285714285714,0.5,0.0
2.023691704897876,0.14454940749270542,area,500,constant_1.52,5,0.5,0.0,0.0,0.07692307692307676,0.0,0.2666666666666667,0.12903225806451613,0.05555555555555558,0.2222222222222222,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
