,target,probes_file,probe_selection,probe_set_number,threshold,alpha,Accuracy,Precision,Recall,F1,distance_function,gt_instances_in_region,filename
56,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.1,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.1_30.0_0_root_servers_M.json
57,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.2,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.2_30.0_0_root_servers_M.json
58,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.3,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.3_30.0_0_root_servers_M.json
59,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.4,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.4_30.0_0_root_servers_M.json
60,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.5,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.5_30.0_0_root_servers_M.json
61,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.6,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.6_30.0_0_root_servers_M.json
62,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.7,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.7_30.0_0_root_servers_M.json
63,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.8,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.8_30.0_0_root_servers_M.json
64,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,0.9,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_0.9_30.0_0_root_servers_M.json
65,202.12.27.33,North-Central_1000.json,area,1000.0,30.0,1.0,0.5,0.5,1.0,0.6666666666666666,constant_1.52,1,202.12.27.33_North-Central_1000_52101293_1.0_30.0_0_root_servers_M.json
66,199.7.83.42,North-Central_500.json,area,500.0,1.0,0.0,0.2,1.0,0.2,0.3333333333333333,constant_1.52,42,199.7.83.42_North-Central_500_52100434_0.0_1.0_0_root_servers_L.json
67,199.7.83.42,North-Central_500.json,area,500.0,1.0,0.1,0.2,1.0,0.2,0.3333333333333333,constant_1.52,42,199.7.83.42_North-Central_500_52100434_0.1_1.0_0_root_servers_L.json
68,199.7.83.42,North-Central_500.json,area,500.0,1.0,0.2,0.2,1.0,0.2,0.3333333333333333,constant_1.52,42,199.7.83.42_North-Central_500_52100434_0.2_1.0_0_root_servers_L.json
69,199.7.83.42,North-Central_500.json,area,500.0,1.0,0.3,0.2,1.0,0.2,0.3333333333333333,constant_1.52,42,199.7.83.42_North-Central_500_52100434_0.3_1.0_0_root_servers_L.json
